domain,N,|S|,|transitions|,|DFA_P1|,|product|,|NFA_P2|,k*,analytic,nonempty,wall_s,ok
tireworld,5,11,24,9,13,13,8,8,True,0.0002,True
tireworld,50,101,249,99,148,148,98,98,True,0.0025,True
tireworld,100,201,499,199,298,298,198,198,True,0.0072,True
tireworld,500,1001,2499,999,1498,1498,998,998,True,0.1379,True
tireworld,1000,2001,4999,1999,2998,2998,1998,1998,True,0.5485,True
beam-walk,5,11,24,9,13,13,8,8,True,0.0002,True
beam-walk,50,101,249,99,148,148,98,98,True,0.0027,True
beam-walk,100,201,499,199,298,298,198,198,True,0.0074,True
beam-walk,500,1001,2499,999,1498,1498,998,998,True,0.1416,True
beam-walk,1000,2001,4999,1999,2998,2998,1998,1998,True,0.542,True
doors,5,11,24,9,13,13,8,8,True,0.0002,True
doors,50,101,249,99,148,148,98,98,True,0.0024,True
doors,100,201,499,199,298,298,198,198,True,0.0078,True
doors,500,1001,2499,999,1498,1498,998,998,True,0.1322,True
doors,1000,2001,4999,1999,2998,2998,1998,1998,True,0.5524,True
first-responders,5,11,24,9,13,13,8,8,True,0.0002,True
first-responders,50,101,249,99,148,148,98,98,True,0.0025,True
first-responders,100,201,499,199,298,298,198,198,True,0.0077,True
first-responders,500,1001,2499,999,1498,1498,998,998,True,0.1504,True
first-responders,1000,2001,4999,1999,2998,2998,1998,1998,True,0.5516,True
tireworld,5,11,24,9,13,13,8,8,True,0.0002,True
tireworld,20,41,99,39,58,58,38,38,True,0.0009,True
tireworld,50,101,249,99,148,148,98,98,True,0.0026,True
tireworld,100,201,499,199,298,298,198,198,True,0.0077,True
tireworld,500,1001,2499,999,1498,1498,998,998,True,0.1442,True
beam-walk,5,16,37,13,25,25,12,12,True,0.0003,True
beam-walk,20,61,157,58,115,115,57,57,True,0.0014,True
beam-walk,50,151,397,148,295,295,147,147,True,0.0058,True
beam-walk,100,301,797,298,595,595,297,297,True,0.0178,True
beam-walk,500,1501,3997,1498,2995,2995,1497,1497,True,0.3668,True
doors,5,21,71,17,37,37,12,12,True,0.0005,True
doors,20,81,296,77,172,172,57,57,True,0.0031,True
doors,50,201,746,197,442,442,147,147,True,0.0193,True
doors,100,401,1496,397,892,892,297,297,True,0.0314,True
doors,500,2001,7496,1997,4492,4492,1497,1497,True,0.6089,True
first-responders,5,31,107,17,49,49,12,12,True,0.0006,True
first-responders,20,121,452,77,229,229,57,57,True,0.0033,True
first-responders,50,301,1142,197,589,589,147,147,True,0.0115,True
first-responders,100,601,2292,397,1189,1189,297,297,True,0.0407,True
first-responders,500,3001,11492,1997,5989,5989,1497,1497,True,0.8053,True
