N,|S|,|delta|,|F|,variant,wall_s,|DFA_P1|,DFA_P1_finals,|product|,product_finals,|NFA_P2|,language_nonempty,shortest_plan,analytic
5,11,24,1,short-circuit,0.0002,9,1,13,1,13,True,8,8
10,21,49,1,short-circuit,0.0003,19,1,28,1,28,True,18,18
20,41,99,1,short-circuit,0.0006,39,1,58,1,58,True,38,38
50,101,249,1,short-circuit,0.002,99,1,148,1,148,True,98,98
100,201,499,1,short-circuit,0.0059,199,1,298,1,298,True,198,198
200,401,999,1,short-circuit,0.0185,399,1,598,1,598,True,398,398
500,1001,2499,1,short-circuit,0.1106,999,1,1498,1,1498,True,998,998
1000,2001,4999,1,short-circuit,0.4251,1999,1,2998,1,2998,True,1998,1998
2000,4001,9999,1,short-circuit,1.7538,3999,1,5998,1,5998,True,3998,3998
5000,10001,24999,1,short-circuit,15.1005,9999,1,14998,1,14998,True,9998,9998
5,11,24,1,otf,0.0003,16,1,29,1,13,True,8,8
10,21,49,1,otf,0.0006,36,1,69,1,28,True,18,18
20,41,99,1,otf,0.0015,76,1,149,1,58,True,38,38
50,101,249,1,otf,0.0069,196,1,389,1,148,True,98,98
100,201,499,1,otf,0.0271,396,1,789,1,298,True,198,198
200,401,999,1,otf,0.0965,796,1,1589,1,598,True,398,398
500,1001,2499,1,otf,0.6202,1996,1,3989,1,1498,True,998,998
1000,2001,4999,1,otf,2.7976,3996,1,7989,1,2998,True,1998,1998
2000,4001,9999,1,otf,15.5054,7996,1,15989,1,5998,True,3998,3998
5000,10001,24999,1,otf,139.4381,19996,1,39989,1,14998,True,9998,9998
